pH,Temperatura (°C),Conductividad (μS/cm),Oxígeno Disuelto (mg/L),Turbidez (NTU),Clorofila (μg/L)
8.84,27.6,640,13.55,29,242.79
7.85,24.7,945,2,41,
9.22,26.4,675,14.33,22,227.84
9.4,26.9,670,14.7,49,342.83
9.48,27.9,668,17.72,72,352.44
9.55,26.6,618,10.47,6,55.89
9.16,26.9,609,13.61,27,167.32
9.3,27,629,14.09,19,308.65
9.56,26.3,628,16.62,21,317.55
9.64,27.6,621,18.86,22,453.9
9.69,27,591,14.03,9,157.0
8.72,26.6,617,8.08,26,170.52
8.94,26.1,623,9.57,19,215.74
9.07,26,620,10.16,25,247.06
9.11,26.3,618,11.27,23,246.0
9.206,25.4,599,7.14,9,109.65
7.792,25.5,632,1.05,26,88.64
7.785,24.9,640,5.07,16,65.86
7.875,25,640,2.22,16,78.32
7.842,25.4,640,2.54,14,72.27
8.24,23,637,3.06,6,47.35
8.46,22.9,624,7.74,13,177.29
7.78,23.3,666,2.38,10,67.28
7.81,24.1,670,2.82,6,21.36
7.75,26.5,668,1.86,7,30.26
9.21,24.58,623.2,12.98,76,318.98
9.21,23.95,606.9,3.66,33,217.52
8.52,23.85,615.7,10.65,19,169.81
8.62,23.9,413,11.67,18,273.76
8.81,24.2,416,14.38,82,585.62
8.77,22.7,627.4,10.65,24,134.21
8.31,22.38,615.7,6.89,18,100.04
8.27,23.06,636.8,8.6,14,137.77
8.31,23.1,420,8.78,14,170.17
8.37,23.4,421,9.16,17,175.86
8.83,24.41,634.6,10.15,43,134.21
9.28,26.39,607.9,21.52,45,100.04
8.69,25.05,657.5,12.4,23,137.77
9.1,27.51,656.8,18.82,44,170.17
8.88,25.74,654.8,20.05,32,175.86
9.36,24.82,631.7,11.01,32,59.1
8.6,25.18,620.3,21.52,27,65.5
8.13,24.9,669.8,5.6,21,87.58
8.54,24.53,679.6,8.16,45,156.64
8.54,25.19,676.3,10.35,41,161.98
9.31,26.3,637,10.16,11,39.52
8.9,27.86,643.4,15.29,56,210.4
8.99,26.95,688.1,12.05,53,284.8
9.13,27.45,760.6,14.69,4900,176006.4
8.6,26.99,690.2,14.3,135,687.79
9.95,26.93,608.6,18.2,139,685.66
8.3,26.33,623,2.89,40,151.66
9.33,26.95,671.8,13.99,47,225.7
9.6,28.38,677.8,21.61,92,187.26
9.48,27.72,670.4,209.9,84,375.22
9.63,25.78,582.5,9.97,39,135.28
7.77,25.89,624.7,0.84,20,72.98
9,26.21,629.4,7.42,20,94.7
9.61,27.67,633,19.58,91,573.16
9.45,27.74,632.9,20.04,67,339.27
9.49,25.97,594,10.31,16,87.58
8.76,25.7,608.4,10.33,27,169.1
8.64,25.17,617.7,8.42,31,190.82
8.98,25.87,615,12.03,49,232.47
9.21,26.24,612.1,19.01,63,384.84
9.5,26.53,565.5,12.6,13,102.17
8.74,26.52,594.2,6.48,29,118.9
8.73,26.85,599.7,8.88,20,127.8
9.37,27.58,587.5,19.5,63,407.26
9.21,27.74,632.9,20.04,61,430.76
9.39,26.94,553.2,7.43,18,80.1
8.8,27.17,594.1,10.03,26,116.77
8.39,29.86,599.2,4.2,15,48.06
9.14,26.86,596.2,12.51,27,173.37
8.94,27.04,597.6,13.44,25,173.73
7.84,24.21,623,1.55,15,53.04
7.78,24.3,602.5,0.44,8,37.02
8.02,24.25,592.2,2.87,14,90.42
7.78,24.25,595.8,2.01,10,75.12
8.2,24.2,603.3,3.99,10,54.11
8.52,25.05,614,8.88,22,163.4
7.56,24.08,621.8,0.7,7,24.21
7.73,24.15,619.7,1.31,6,27.06
7.85,24.58,621.4,2.4,7,33.82
8.62,23.85,609.7,12.28,14,80.81
8.56,25.31,610.3,16.67,181,165.9
8.07,25.18,677,5.55,28,28.3
7.7,24.88,651.4,2.21,6,16.38
7.8,24.58,653.8,2.51,5,13.53
8.52,23.07,609.8,6.83,9,18.87
8.82,24.46,633.9,14.1,33,34.89
8.03,24.21,675.8,3.7,7,18.51
7.91,23.2,678.9,2.36,5,12.64
7.79,23.2,682.9,1.6,6,12.82
9.42,25.13,602.5,16.24,191,58.21
9.21,27.78,613.3,23.08,53,64.08
8.15,24.21,675.8,3.7,6,19.94
7.91,23.2,678.9,2.36,137,35.07
7.79,23.2,682.9,1.6,12,33.82
9.40,25.84,610.6,12.08,40,105.73
8.79,26.68,630,10.94,370,112.85
8.4,26.29,706.3,5.01,51,64.79
