Temperatura (°C),pH,Oxígeno Disuelto (mg/L),Turbidez (NTU),Conductividad (uS/cm)
22.0,7.95872,1.58,119.4929437,1270.6987860000002
22.0,8.05708,1.62,113.8441635,1253.771545
22.0,7.95872,1.45,92.32024138,1245.3691410000001
22.0,8.05708,1.5,108.3025031,1262.226286
22.0,7.86036,1.45,102.8679626,1253.771545
22.0,7.95872,1.5,113.8441635,1237.00175
22.06,7.95872,1.45,97.54054205,1237.00175
22.06,7.95872,1.5,113.8441635,1220.355038
22.06,7.95872,1.45,119.4929437,1253.771545
22.06,7.95872,1.45,108.3025031,1270.6987860000002
22.06,7.95872,1.45,119.4929437,1228.669371
22.06,8.05708,1.45,102.8679626,1262.226286
22.06,7.95872,1.45,92.32024138,1245.3691410000001
22.12,7.95872,1.5,92.32024138,1262.226286
22.12,7.95872,1.5,92.32024138,1262.226286
22.12,8.05708,1.45,119.4929437,1253.771545
22.12,7.95872,1.45,113.8441635,1253.771545
22.12,8.2538,1.45,102.8679626,1228.669371
22.12,7.95872,1.65,119.4929437,1262.226286
22.12,7.95872,1.65,102.8679626,1270.6987860000002
22.19,7.95872,1.69,102.8679626,1270.6987860000002
22.19,8.05708,1.65,108.3025031,1253.771545
22.12,7.95872,1.65,102.8679626,1220.355038
22.19,8.35216,1.65,92.32024138,1253.771545
22.19,8.2538,1.65,92.32024138,1270.6987860000002
22.19,8.2538,1.65,119.4929437,1237.00175
22.19,8.2538,1.69,102.8679626,1253.771545
22.19,7.95872,1.65,119.4929437,1262.226286
22.25,7.95872,1.61,92.32024138,1228.669371
22.25,7.95872,1.54,108.3025031,1237.00175
22.25,8.05708,1.58,92.32024138,1228.669371
22.25,7.95872,1.58,108.3025031,1262.226286
22.25,8.35216,1.81,119.4929437,1270.6987860000002
22.31,8.2538,2.09,97.54054205,1262.226286
22.25,7.95872,2.09,92.32024138,1237.00175
22.25,7.95872,2.02,113.8441635,1262.226286
22.31,8.05708,2.04,92.32024138,1262.226286
22.31,8.089866667,2.09,97.54054205,1279.206297
22.37,8.139046667,2.17,119.4929437,1237.00175
22.31,8.188226667,1.94,102.8679626,1262.226286
22.31,8.237406667,2.09,92.32024138,1270.6987860000002
22.37,8.286586667,2.02,92.32024138,1220.355038
22.37,8.335766667,2.19,92.32024138,1262.226286
22.37,8.384946667,1.94,102.8679626,1228.669371
22.37,7.95872,2.27,119.4929437,1270.6987860000002
22.37,8.05708,2.02,119.4929437,1270.6987860000002
22.31,7.95872,2.04,108.3025031,1262.226286
22.31,8.35216,2.19,67.82553654,1270.6987860000002
22.19,8.2538,2.24,72.51023771,1253.771545
22.12,7.95872,2.04,113.8441635,1262.226286
22.06,7.95872,2.29,97.54054205,1253.771545
22.0,8.085182857,2.27,97.54054205,1287.7663619999998
21.94,8.088695714,2.07,113.8441635,1270.6987860000002
21.87,8.092208571,2.29,92.32024138,1245.3691410000001
21.87,8.095721429,2.19,113.8441635,1287.7663619999998
21.81,8.099234286,2.29,108.3025031,1262.226286
21.75,8.102747143,2.29,97.54054205,1279.206297
21.69,8.10626,2.29,92.32024138,1237.00175
21.62,8.109772857,2.04,97.54054205,1270.6987860000002
21.62,8.113285714,2.07,97.54054205,1245.3691410000001
21.56,8.116798571,2.07,97.54054205,1237.00175
21.56,8.120311429,2.29,113.8441635,1237.00175
21.5,7.95872,2.14,87.20706061,1245.3691410000001
21.5,7.95872,2.12,82.20099974,1279.206297
21.44,7.95872,2.12,87.20706061,1279.206297
21.44,7.95872,2.27,87.20706061,1270.6987860000002
21.44,7.95872,2.12,97.54054205,1262.226286
21.44,7.95872,2.29,113.8441635,1245.3691410000001
21.37,7.86036,2.07,97.54054205,1279.206297
21.37,7.95872,2.04,108.3025031,1262.226286
21.37,7.95872,2.17,92.32024138,1237.00175
21.37,7.931397778,2.27,102.8679626,1270.6987860000002
21.37,7.928119111,2.17,108.3025031,1237.00175
21.31,7.924840444,2.29,92.32024138,1237.00175
21.31,7.921561778,2.29,113.8441635,1237.00175
21.31,7.918283111,2.12,102.8679626,1262.226286
21.31,7.915004444,2.24,97.54054205,1279.206297
21.31,7.911725778,2.29,97.54054205,1262.226286
21.25,7.908447111,2.07,108.3025031,1270.6987860000002
21.25,7.905168444,2.12,92.32024138,1253.771545
21.31,7.901889778,2.32,87.20706061,1287.7663619999998
21.31,7.898611111,2.12,92.32024138,1245.3691410000001
21.25,7.895332444,2.17,97.54054205,1245.3691410000001
21.25,7.892053778,2.07,108.3025031,1245.3691410000001
21.25,7.888775111,2.29,113.8441635,1245.3691410000001
21.25,7.885496444,2.17,108.3025031,1262.226286
21.25,7.882217778,2.04,108.3025031,1253.771545
21.25,7.878939111,2.37,113.8441635,1253.771545
21.25,7.875660444,2.14,108.3025031,1253.771545
21.25,8.2538,2.22,119.4929437,1245.3691410000001
21.25,8.2538,2.27,108.3025031,1270.6987860000002
21.25,8.35216,2.34,102.8679626,1279.206297
21.25,8.2538,2.12,97.54054205,1253.771545
21.25,8.2538,2.34,92.32024138,1262.226286
21.25,8.2538,2.34,108.3025031,1279.206297
21.19,8.05708,2.34,92.32024138,1237.00175
21.19,8.05708,2.34,87.20706061,1279.206297
21.25,7.95872,2.12,108.3025031,1279.206297
21.19,7.95872,2.12,97.54054205,1245.3691410000001
21.19,7.90954,2.12,92.32024138,1262.226286
21.19,7.870196,2.12,97.54054205,1253.771545
21.19,8.05708,2.14,92.32024138,1237.00175
21.19,8.05708,2.24,113.8441635,1262.226286
21.19,7.95872,2.17,92.32024138,1237.00175
21.19,7.95872,2.09,108.3025031,1279.206297
21.19,8.05708,2.27,102.8679626,1279.206297
21.19,8.05708,2.37,102.8679626,1237.00175
21.19,7.95872,2.34,92.32024138,1237.00175
21.19,7.95872,2.22,97.54054205,1228.669371
21.19,8.35216,2.37,113.8441635,1237.00175
21.19,8.2538,2.29,76.33512497,1287.7663619999998
21.19,8.2538,2.12,73.93653644,1237.00175
21.19,8.2538,2.37,76.33512497,1262.226286
21.19,8.2538,2.34,76.33512497,1237.00175
21.19,8.2538,2.37,71.56472788,1279.206297
21.19,8.2538,2.34,71.56472788,1237.00175
21.19,8.2538,2.14,73.93653644,1245.3691410000001
21.19,8.2538,2.29,73.93653644,1279.206297
21.19,8.2538,2.09,71.56472788,1237.00175
21.19,8.2538,2.24,71.56472788,1245.3691410000001
21.19,8.2538,2.27,71.56472788,1245.3691410000001
21.19,8.35216,2.34,71.56472788,1279.206297
21.19,8.2538,2.22,69.2196993,1262.226286
21.12,8.2538,2.14,69.2196993,1279.206297
22.12,8.35216,2.27,78.27327738,1331.022424
22.12,8.2538,2.22,73.93653644,1331.022424
22.12,8.35216,2.27,69.2196993,1331.022424
22.12,8.35216,2.27,73.93653644,1331.022424
22.12,8.2538,2.27,73.93653644,1331.022424
22.19,8.2538,2.27,69.2196993,1331.022424
22.12,8.35216,2.27,73.93653644,1331.022424
22.12,8.2538,2.48,76.33512497,1331.022424
22.19,8.2538,2.56,73.93653644,1331.022424
22.12,8.2538,2.61,76.33512497,1331.022424
22.19,8.2538,2.74,78.27327738,1331.022424
22.19,8.2538,2.78,76.33512497,1304.95659
22.12,8.2538,2.86,76.33512497,1313.604223
22.19,8.2538,2.91,76.33512497,1313.604223
22.12,8.2538,2.99,73.93653644,1304.95659
22.19,8.2538,3.04,73.93653644,1304.95659
22.19,8.2538,3.16,69.2196993,1313.604223
22.19,8.2538,3.16,66.9014507,1304.95659
22.19,8.2538,3.16,60.10738473,1313.604223
22.19,8.2538,3.25,62.34529341,1313.604223
22.12,8.15544,3.29,60.10738473,1313.604223
22.19,8.2538,3.25,64.60998207,1304.95659
22.12,8.2538,3.29,71.56472788,1304.95659
22.19,8.2538,3.25,76.33512497,1304.95659
22.12,8.2538,3.25,71.56472788,1304.95659
22.12,8.2538,3.21,71.56472788,1304.95659
22.12,8.2538,3.25,76.33512497,1304.95659
22.19,8.15544,3.16,76.33512497,1313.604223
22.12,8.2538,3.21,73.93653644,1304.95659
22.12,8.15544,3.12,76.33512497,1296.34397
22.12,8.2538,3.12,78.27327738,1296.34397
22.19,8.15544,3.08,76.33512497,1313.604223
22.12,8.2538,3.08,76.33512497,1304.95659
