Fecha y hora,pH,Temperatura (°C),Conductividad (µS/cm),Oxígeno disuelto (mg/L),Turbidez (NTU)
2025-10-28 11:52:12,5.02,23.81,80.0,0.08,0.5
2025-10-28 11:52:13,5.02,23.87,80.0,0.08,0.5
2025-10-28 11:52:14,5.03,23.87,80.0,0.13,0.5
2025-10-28 11:52:15,5.03,23.81,60.0,0.13,0.5
2025-10-28 11:52:16,5.02,23.81,80.0,0.08,0.5
2025-10-28 11:52:17,5.02,23.87,60.0,0.04,0.5
2025-10-28 11:52:18,5.03,23.87,60.0,0.08,0.5
2025-10-28 11:52:20,5.03,23.87,80.0,0.13,0.5
2025-10-28 11:52:21,5.02,23.81,80.0,0.04,0.5
2025-10-28 11:52:22,5.02,23.81,60.0,0.04,0.5
2025-10-28 11:52:23,5.02,23.87,80.0,0.08,0.5
2025-10-28 11:52:24,5.03,23.81,60.0,0.04,0.5
2025-10-28 11:52:25,5.03,23.87,80.0,0.08,0.5
2025-10-28 11:52:26,5.04,23.81,60.0,0.13,0.5
2025-10-28 11:52:27,5.03,23.81,80.0,0.08,0.5
2025-10-28 11:52:28,5.03,23.87,80.0,0.04,0.5
2025-10-28 11:52:29,5.04,23.81,80.0,0.13,0.5
2025-10-28 11:52:30,5.03,23.87,80.0,0.04,0.5
2025-10-28 11:52:31,5.05,23.81,60.0,0.08,0.5
2025-10-28 11:52:32,5.04,23.87,60.0,0.04,0.5
2025-10-28 11:52:33,5.04,23.81,60.0,0.13,0.5
2025-10-28 11:52:34,5.06,23.81,60.0,0.08,0.5
2025-10-28 11:52:35,5.04,23.81,60.0,0.08,0.5
2025-10-28 11:52:36,5.05,23.87,60.0,0.08,0.5
2025-10-28 11:52:37,5.02,23.81,60.0,0.08,0.5
2025-10-28 11:52:38,5.06,23.87,80.0,0.13,0.5
2025-10-28 11:52:39,5.04,23.87,60.0,0.13,0.5
2025-10-28 11:52:40,5.06,23.87,60.0,0.08,0.5
2025-10-28 11:52:41,5.06,23.81,60.0,0.13,0.5
2025-10-28 11:52:42,5.06,23.81,60.0,0.08,0.5
2025-10-28 11:52:43,5.06,23.81,80.0,0.13,0.5
2025-10-28 11:52:44,5.06,23.87,80.0,0.08,0.5
2025-10-28 11:52:45,5.05,23.87,60.0,0.04,0.5
2025-10-28 11:52:47,5.06,23.87,80.0,0.08,0.5
2025-10-28 11:52:48,5.07,23.81,80.0,0.13,0.5
2025-10-28 11:52:49,5.06,23.87,80.0,0.04,0.5
2025-10-28 11:52:50,5.07,23.87,60.0,0.13,0.5
2025-10-28 11:52:51,5.06,23.87,60.0,0.08,0.5
2025-10-28 11:52:52,5.06,23.87,80.0,0.08,0.5
2025-10-28 11:52:53,5.07,23.81,60.0,0.13,0.5
2025-10-28 11:52:54,5.07,23.87,60.0,0.13,0.5
2025-10-28 11:52:55,5.07,23.81,60.0,0.08,0.5
2025-10-28 11:52:56,5.06,23.81,80.0,0.04,0.5
2025-10-28 11:52:57,5.08,23.87,60.0,0.08,0.5
2025-10-28 11:52:58,5.08,23.87,60.0,0.13,0.5
2025-10-28 11:52:59,5.08,23.87,80.0,0.08,0.5
2025-10-28 11:53:00,5.07,23.87,80.0,0.08,0.5
2025-10-28 11:53:01,5.08,23.87,60.0,0.08,0.5
2025-10-28 11:53:02,5.07,23.87,60.0,0.08,0.5
2025-10-28 11:53:03,5.06,23.87,60.0,0.04,0.5
2025-10-28 11:53:04,5.07,23.87,60.0,0.08,0.5
2025-10-28 11:53:05,5.08,23.87,60.0,0.13,0.5
2025-10-28 11:53:06,5.1,23.87,80.0,0.13,0.5
2025-10-28 11:53:07,5.08,23.87,60.0,0.08,0.5
2025-10-28 11:53:08,5.08,23.87,60.0,0.13,0.5
2025-10-28 11:53:09,5.08,23.81,60.0,0.13,0.5
2025-10-28 11:53:10,5.08,23.87,80.0,0.08,0.5
2025-10-28 11:53:11,5.09,23.81,80.0,0.08,0.5
2025-10-28 11:53:12,5.08,23.81,80.0,0.04,0.5
2025-10-28 11:53:13,5.08,23.87,60.0,0.08,0.5
