Fecha;Hora;Sitio;pH;Temperatura (°C);Conductividad (uS/cm);O2 (mg/L);Turbidez (NTU);Clorofila (ug/L)
6/03/2025;13:31;Lago de Amatitlán/Río Michatoya ;9.37;24.84;669;16.32;122;118.66
6/03/2025;13:40;Lago de Amatitlán/Playa Pública;9.05;24.61;657.2;13.41;34;40.23
1/04/2025;09:50;Lago de Amatitlán/Este Centro;9.69;25.62;603.1;13.53;32;15.55
1/04/2025;10:55;Lago de Amatitlán/Bahía Playa de Oro;8.68;27.5;647.9;5.17;75;105.02
1/04/2025;12:23;Lago de Amatitlán/Oeste Centro;9.3;26.37;682.7;16.23;34;61.23
1/04/2025;13:24;Lago de Amatitlán/Río Michatoya ;8.71;25.6;691;14.85;621;281.59
1/04/2025;13:34;Lago de Amatitlán/Playa Pública;9.13;26.42;682;16.34;65;112.58
5/05/2025;10:13;Lago de Amatitlán/Este Centro;9.46;26.35;611.9;9.99;9;38.8
5/05/2025;11:46;Lago de Amatitlán/Bahía Playa de Oro;9.01;28.04;316.4;11.28;56;98.1
5/05/2025;13:21;Lago de Amatitlán/Oeste Centro;9.43;28.13;374;17;80;36.07
5/05/2025;14:13;Lago de Amatitlán/Río Michatoya ;9.4;28.07;273.5;14.61;71;122.9
5/05/2025;14:18;Lago de Amatitlán/Playa Pública;9.48;29.02;272.4;16.51;96;74.58
3/06/2025;09:54;Lago de Amatitlán/Este Centro;9.6;26.59;229;15.88;28;87.57
3/06/2025;11:04;Lago de Amatitlán/Bahía Playa de Oro;8.21;27.99;236.9;0;96;97.9
3/06/2025;12:30;Lago de Amatitlán/Oeste Centro;9.43;28.72;239.7;18.78;21;22.31
3/06/2025;13:20;Lago de Amatitlán/Río Michatoya ;9.69;28.57;229;22.05;1,950;291.62
3/06/2025;13:38;Lago de Amatitlán/Playa Pública;10.02;28.78;230.5;25.35;79;53.4
2/07/2025;09:53;Lago de Amatitlán/Este Centro;9.69;26.93;237.2;11.68;33;62.42
2/07/2025;10:56;Lago de Amatitlán/Bahía Playa de Oro;8.44;26.02;284;7.05;33;99.92
2/07/2025;12:16;Lago de Amatitlán/Oeste Centro;9.25;26.57;273.3;6.64;9;32.04
2/07/2025;13:07;Lago de Amatitlán/Río Michatoya ;9.45;27.12;357.6;13.54;50;63.72
2/07/2025;13:13;Lago de Amatitlán/Playa Pública;8.57;26.79;386.2;12.57;30;46.99
5/08/2025;10:10;Lago de Amatitlán/Este Centro;9.495;25.6;569;10.73;33;35.84
5/08/2025;11:09;Lago de Amatitlán/Bahía Playa de Oro;7.988;25;677;1.47;33;44.38
5/08/2025;12:20;Lago de Amatitlán/Oeste Centro;8.2;25.1;676;1.72;9;11.27
5/08/2025;13:16;Lago de Amatitlán/Río Michatoya ;8.354;25.4;674;2.33;50;4.15
5/08/2025;13:25;Lago de Amatitlán/Playa Pública;8.32;25.6;676;2.19;30;7

