Fecha;Hora;Sitio;pH;Temperatura (°C);Conductividad (uS/cm);O2 (mg/L);Turbidez (NTU);Clorofila (ug/L)
12-mar-18;10:00;Este centro;9.27;22.5;618;15.42;20;280.706
12-mar-18;11:00;Bahía Playa de Oro;8.32;26;698;11.22;16;68.307
12-mar-18;12:41;Oeste centro;7.68;24.3;788;2.8;2;4.2542
12-mar-18;13:00;Río Michatoya;7.8;24.1;789;388;5;24.1368
2-abr-18;10:25;Este centro;9.16;24.9;595;10.18;5;32.2625
2-abr-18;11:34;Bahía Playa de Oro;8.88;26;646;11.61;17;82.236
2-abr-18;12:45;Oeste centro;8.89;24.9;748;12.63;5;100.926
2-abr-18;13:55;Río Michatoya;9.63;27.3;731;17.14;69;847.28
7-may-18;10:55;Este centro;9.48;22;620;11.26;15;153.614
7-may-18;12:00;Bahía Playa de Oro;8.29;22.9;697;4.9;17;137.327
7-may-18;13:02;Oeste centro;9.17;22.6;770;13.97;9;144.892
7-may-18;14:00;Río Michatoya;9.44;22.9;773;18.14;12;416.0083
4-jun-18;10:27;Este centro;9.99;25.9;598;11.24;12;70.67
4-jun-18;11:47;Bahía Playa de Oro;8.68;26.2;676;1.59;34;206.04
4-jun-18;12:46;Oeste centro;9.81;26.1;724;17.96;29;305.63
2-jul-18;10:20;Este centro;9.72;26.6;581;10.98;9;34.087
2-jul-18;11:14;Bahía Playa de Oro;8.8;25.9;650;5.93;25;141.51
2-jul-18;12:14;Oeste centro;9.5;25.8;689;13.42;24;235.316
2-jul-18;13:05;Río Michatoya;9.96;27;692;14.6;81;999.915
6-ago-18;10:40;Este centro;9.76;25.1;583;10.42;20;65.504
6-ago-18;11:51;Bahía Playa de Oro;8.54;26;645;4.03;31;108.58
6-ago-18;13:00;Oeste centro;9.13;25;716;6.57;20;65.0056
6-ago-18;14:00;Río Michatoya;9.53;26.7;706;13.08;54;462.444
3-sep-18;10:25;Este centro;9.78;25.9;570;10.01;11;83.06
3-sep-18;11:10;Bahía Playa de Oro;8.43;25.9;647;4.76;15;88.29
3-sep-18;12:06;Oeste centro;9.45;26.2;695;13.4;36;404.34
3-sep-18;12:50;Río Michatoya;9.43;26;692;13.21;51;353.33
1-oct-18;10:50;Este centro;9.58;25;560;6.05;6;34.11
1-oct-18;12:07;Bahía Playa de Oro;8.37;25.6;653;4.8;18;74.23
1-oct-18;13:08;Bahía Playa de Oro;8.76;24.9;700;3.26;13;64.73
1-oct-18;13:58;Bahía Playa de Oro;9.11;25.6;689;9.79;23;161.54
5-nov-18;10:40;Este centro;9.73;20.4;678;13.36;30;168.5067
5-nov-18;12:10;Bahía Playa de Oro;9.04;25.8;659;12.17;28;156.996
5-nov-18;13:40;Oeste centro;8.55;20.4;778;7.06;8;80.2187
5-nov-18;14:32;Río Michatoya;8.86;26.3;667;12.36;18;129.94
3-dic-18;11:00;Este centro;9.53;26;619;14.95;170;161.268
3-dic-18;12:32;Bahía Playa de Oro;9.14;27.4;655;13.6;81;125.668
3-dic-18;13:34;Oeste centro;8.19;25.8;731;6.43;22;73.514
3-dic-18;14:16;Río Michatoya;8.35;26;706;9.2;25;92.204
7-ene-19;10:51;Este centro;8.54;22.6;626;6.8;23;130.8893
7-ene-19;12:45;Oeste centro;7.6;22.5;733;1.8;19;71.3187
4-feb-19;10:56;Este centro;9.02;24.1;619;13.31;28;75.12
4-feb-19;13:07;Oeste centro;8.37;25.2;741;10.12;23;154.15
4-mar-19;11:08;Este centro;9.41;24.2;617;14.58;33;183.43
4-mar-19;12:59;Oeste centro;8.92;25.6;739;12.79;38;80.28
1-abr-19;12:05;Este centro;9.03;26.7;647;8.79;21;76.54
1-abr-19;13:45;Oeste centro;8.67;25.1;762;8.94;21;166.96
6-may-19;10:55;Este centro;9.36;28.4;627;11.5;114;1,316.31
6-may-19;12:55;Oeste centro;8.63;27.1;817;8.59;17;36.16
3-jun-19;10:15;Este centro;9.28;26.8;632;14;67;183.43
3-jun-19;12:50;Oeste centro;8.75;26.5;760;8.71;21;80.28
8-jul-19;10:08;Este centro;9.36;25.8;638;14.97;98;19.34
8-jul-19;11:52;Oeste centro;9.08;25.7;761;8.36;49;46.04
5-ago-19;10:25;Este centro;9.7;27.2;614;24.1;202;160.38
5-ago-19;12:32;Oeste centro;9.43;27.2;741;16.13;52;220.08
2-sep-19;09:58;Este centro;9.61;26.9;600;18.21;51;259.52
2-sep-19;12:30;Oeste centro;9.56;29.9;735;21.6;75;188.92
7-oct-19;09:57;Este centro;9.41;26.1;614;14.4;31;77.73
7-oct-19;11:31;Oeste centro;8.62;25.9;698;8.25;24;198.05
4-nov-19;10:08;Este centro;8.79;24.7;612;2.35;20;92.32
4-nov-19;12:32;Oeste centro;7.75;24.7;660;0.42;12;9.49
2-dic-19;11:00;Este centro;8;23.8;625;0.61;11;25.51
2-dic-19;12:56;Oeste centro;7.67;24.1;662;0.58;9;25.04
5-may-21;09:25;Lago de Amatitlán/Este Centro;9.43;25.1;646;5.07;122;918.84
5-may-21;09:30;Lago de Amatitlán/Este Centro;8.9;21.1;649;3.14;23;886.6
5-may-21;09:50;Lago de Amatitlán/Este Centro;8.65;24;649;2.74;15;268.07
5-may-21;10:15;Lago de Amatitlán/Este Centro;7.73;22.6;662;0.06;6;194.38
5-may-21;10:35;Lago de Amatitlán/Bahía Playa de Oro;8.71;28.1;647;4.81;2670;886.6
5-may-21;10:55;Lago de Amatitlán/Bahía Playa de Oro;8;27.4;677;0.08;27;7.69
5-may-21;11:50;Lago de Amatitlán/Oeste Centro;9.26;26.8;734;17.6;44;268.07
5-may-21;11:55;Lago de Amatitlán/Oeste Centro;8.7;24.7;750;3.75;31;137.77
5-may-21;12:00;Lago de Amatitlán/Oeste Centro;7.88;24;751;0.11;13;121.75
5-may-21;12:15;Lago de Amatitlán/Oeste Centro;7.54;22.9;757;0.05;16;334.28
5-may-21;12:25;Lago de Amatitlán/Río Michatoya ;8.5;25.2;740;9.35;45;194.38
5-may-21;12:32;Lago de Amatitlán/Playa Pública;8.97;26.8;736;11.28;98;166.96
7-jun-21;10:47;Lago de Amatitlán/Bahía Playa de Oro;9.06;29.3;627;12.67;41;121.75
7-jun-21;11:50;Lago de Amatitlán/Oeste Centro;9.59;27.7;703;18.44;61;334.28
7-jun-21;13:05;Lago de Amatitlán/Río Michatoya ;9.49;27.5;698;18.04;44;279.46
7-jun-21;13:15;Lago de Amatitlán/Playa Pública;9.46;27.6;702;16.16;40;387.68
7-jul-21;09:11;Lago de Amatitlán/Este Centro;9.35;26.7;641;9.03;8;44.86
7-jul-21;10:39;Lago de Amatitlán/Bahía Playa de Oro;8.83;28.1;643;11.58;37;106.09
7-jul-21;12:00;Lago de Amatitlán/Oeste Centro;9.33;27.9;683;15.59;60;271.27
